City,2008,2009,2010,2011,2012,2013,2014,2015,2016,total_buildings
LOS ANGELES,5190,4020,2561,1804,1540,1355,2096,1156,120,19842
unincorporated,890,475,435,415,480,612,526,467,34,4334
SANTA CLARITA,273,189,251,90,167,256,321,276,39,1862
LANCASTER,334,289,265,210,222,191,121,80,0,1712
PALMDALE,547,250,223,112,45,45,32,50,18,1322
AZUSA,58,35,15,54,273,163,296,176,0,1070
PASADENA,250,288,205,71,56,67,55,47,3,1042
HAWTHORNE,44,15,95,67,78,284,231,47,0,861
ARCADIA,67,79,55,87,81,128,139,148,26,810
LONG BEACH,272,82,111,144,69,50,47,30,0,805
GLENDALE,258,142,88,40,112,53,17,11,1,722
REDONDO BEACH,206,76,60,57,68,74,85,50,9,685
TORRANCE,256,117,88,54,44,59,40,16,0,674
MANHATTAN BEACH,145,117,57,60,72,81,66,26,0,624
ALHAMBRA,49,168,16,38,53,87,65,125,0,601
SANTA MONICA,142,97,76,57,103,47,35,35,1,593
POMONA,213,79,13,56,97,35,31,54,0,578
BURBANK,314,75,35,25,13,11,26,15,0,514
SANTA FE SPRINGS,12,12,58,86,82,155,37,0,0,442
MONTEREY PARK,75,28,228,33,15,16,13,16,2,426
TEMPLE CITY,64,41,48,23,32,30,61,92,5,396
WEST COVINA,100,131,5,30,4,8,24,62,0,364
DIAMOND BAR,113,5,1,7,32,2,3,197,0,360
DOWNEY,137,45,24,29,10,13,69,6,5,338
GLENDORA,60,116,41,7,4,55,22,19,12,336
WALNUT,68,36,72,80,33,4,3,19,2,317
BEVERLY HILLS,70,55,17,41,11,51,12,40,0,297
WEST HOLLYWOOD,76,146,14,6,20,21,6,6,2,297
HERMOSA BEACH,106,44,17,21,27,29,26,23,0,293
EL MONTE,52,34,9,29,27,51,58,21,0,281
ROSEMEAD,104,38,43,17,25,16,24,5,1,273
MONROVIA,80,30,22,10,22,20,29,34,9,256
LA VERNE,10,6,3,111,13,40,58,13,1,255
WHITTIER,30,95,28,16,40,28,12,2,0,251
SOUTH EL MONTE,47,26,5,13,17,6,28,103,3,248
COMPTON,57,99,34,17,4,16,16,5,0,248
SAN GABRIEL,62,26,9,12,13,20,22,55,2,221
EL SEGUNDO,64,39,25,9,22,23,26,4,0,212
GARDENA,48,9,7,70,43,18,7,0,0,202
BALDWIN PARK,44,31,35,43,12,16,9,5,0,195
RANCHO PALOS VERDES,106,13,24,12,14,14,9,2,0,194
MONTEBELLO,26,19,32,46,3,6,18,42,0,192
BELLFLOWER,33,18,14,15,8,38,18,38,0,182
MALIBU,34,29,33,15,20,21,17,5,1,175
CARSON,15,18,32,26,39,10,9,26,0,175
SAN DIMAS,14,4,19,6,29,84,14,3,0,173
COVINA,6,2,3,47,47,1,59,6,1,172
CLAREMONT,29,4,11,8,2,9,101,7,0,171
SOUTH GATE,57,42,20,9,14,12,15,1,0,170
CULVER CITY,48,34,12,7,6,28,11,17,1,164
PALOS VERDES ESTATES,30,23,13,17,14,15,10,7,0,129
LA CANADA-FLINTRIDGE,31,19,11,12,16,17,13,5,1,125
SIGNAL HILL,13,19,10,21,23,31,4,1,0,122
LYNWOOD,31,31,28,4,5,10,3,0,0,112
INGLEWOOD,39,15,16,11,4,8,6,6,3,108
PICO RIVERA,65,6,5,11,4,4,10,3,0,108
DUARTE,37,5,5,23,3,15,16,2,0,106
PARAMOUNT,19,23,22,22,9,5,5,0,0,105
LAKEWOOD,40,8,16,28,8,1,0,1,0,102
SOUTH PASADENA,23,30,24,2,7,3,3,8,0,100
AGOURA HILLS,12,6,10,42,2,1,24,2,0,99
BELL GARDENS,46,18,6,8,3,1,6,2,0,90
INDUSTRY,24,22,17,5,3,10,1,8,0,90
CERRITOS,13,3,21,10,8,3,14,11,1,84
CUDAHY,49,26,4,0,3,0,0,2,0,84
LOMITA,19,6,6,14,14,9,13,2,0,83
ROLLING HILLS ESTATES,60,2,9,2,0,5,3,1,0,82
NORWALK,20,12,2,14,7,13,5,7,0,80
COMMERCE,20,9,7,3,15,8,4,1,0,67
LA PUENTE,16,13,10,2,2,2,10,8,1,64
SAN FERNANDO,33,5,1,3,8,1,10,2,0,63
SIERRA MADRE,11,6,1,4,5,8,15,8,0,58
LA MIRADA,4,0,0,0,4,1,45,3,0,57
ARTESIA,14,7,18,3,3,2,9,0,0,56
LAWNDALE,17,8,3,7,4,7,5,5,0,56
SAN MARINO,3,13,2,3,8,11,6,5,0,51
BELL,18,11,2,1,3,5,10,0,0,50
HUNTINGTON PARK,20,7,7,5,0,2,1,0,0,42
CALABASAS,15,8,6,2,2,3,1,2,0,39
MAYWOOD,16,11,2,4,0,2,3,0,0,38
LA HABRA HEIGHTS,11,4,1,5,5,1,4,0,1,32
VERNON,7,1,7,2,5,1,4,3,0,30
AVALON,3,3,5,8,6,3,1,1,0,30
HAWAIIAN GARDENS,4,10,0,1,7,0,0,5,0,27
IRWINDALE,11,1,0,5,4,0,1,1,0,23
HIDDEN HILLS,3,4,2,1,4,2,5,1,0,22
BRADBURY,2,3,8,3,0,1,2,0,1,20
ROLLING HILLS,3,3,2,2,4,1,1,0,0,16
WEST LAKE VILLAGE,1,2,0,0,1,0,8,1,0,13
